"id","image_url","x","y","is_hand","is_note","word"
567,"Master_00567.jpg",288,77,1,0,""
568,"Master_00568.jpg",288,81,1,0,""
569,"Master_00569.jpg",292,91,1,0,""
570,"Master_00570.jpg",279,79,1,0,""
571,"Master_00571.jpg",279,77,1,0,""
572,"Master_00572.jpg",282,81,1,0,""
573,"Master_00573.jpg",274,77,1,0,""
574,"Master_00574.jpg",268,82,1,0,""
575,"Master_00575.jpg",265,83,1,1,"in"
576,"Master_00576.jpg",268,86,1,1,"in"
577,"Master_00577.jpg",264,91,1,1,"in"
578,"Master_00578.jpg",263,94,1,1,"in"
579,"Master_00579.jpg",266,101,1,1,"in"
580,"Master_00580.jpg",263,101,1,1,"in"
581,"Master_00581.jpg",270,115,1,1,"in"
582,"Master_00582.jpg",273,118,1,1,"in"
583,"Master_00583.jpg",-1,-1,0,1,"in"
584,"Master_00584.jpg",272,128,1,1,"in"
585,"Master_00585.jpg",267,135,1,1,"in"
586,"Master_00586.jpg",265,133,1,0,""
587,"Master_00587.jpg",265,137,1,0,""
588,"Master_00588.jpg",262,137,1,1,"the"
589,"Master_00589.jpg",257,143,1,1,"e"
590,"Master_00590.jpg",247,143,1,1,"e"
591,"Master_00591.jpg",241,169,1,1,"e"
592,"Master_00592.jpg",236,184,1,1,"e"
593,"Master_00593.jpg",234,200,1,1,"e"
594,"Master_00594.jpg",235,218,1,1,"e"
595,"Master_00595.jpg",245,244,1,1,"e"
596,"Master_00596.jpg",256,251,1,1,"e"
597,"Master_00597.jpg",273,266,1,1,"e"
598,"Master_00598.jpg",289,260,1,1,"e"
599,"Master_00599.jpg",297,254,1,0,""
600,"Master_00600.jpg",306,262,1,0,""
601,"Master_00601.jpg",324,248,1,0,""
602,"Master_00602.jpg",346,244,1,0,""
603,"Master_00603.jpg",357,221,1,0,""
604,"Master_00604.jpg",366,212,1,1,"mem'"
605,"Master_00605.jpg",358,192,1,0,""
606,"Master_00606.jpg",349,182,1,0,""
607,"Master_00607.jpg",326,151,1,0,""
608,"Master_00608.jpg",322,142,1,0,""
